	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
1218074	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia acidipaludis			
1218075	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia bannensis			
1218076	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia ferrariae			
1218077	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia fungorum			
1218078	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia ginsengisoli			
1218080	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia heleia			
1218081	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia kururiensis	Paraburkholderia kururiensis subsp. thiooxydans		
1218083	Bacteria			Proteobacteria		Betaproteobacteria		Burkholderiales		Burkholderiaceae			Paraburkholderia			Paraburkholderia oxyphila			
1218086	Bacteria			Proteobacteria		Gammaproteobacteria		Enterobacterales		Enterobacteriaceae			Citrobacter		Citrobacter freundii complex	Citrobacter sedlakii			
1218092	Bacteria			Firmicutes		Bacilli		Lactobacillales		Enterococcaceae			Enterococcus			Enterococcus pseudoavium			
